id,aircraft_type,aircraft_model,total_casualties,passenger_casualties,crew_casualties,nonFlying_casualties,date,total_flying_casualties,year,month,decade,airline_1,airline_2,airline_3,phase,location_country,airport,distance_km,aircract_model
3,Boeing,747,583,560,23,0,1977-03-27,583,1977,3,70s,Pan Am Flight,KLM Flight,NA,TXI/TOF,Spain,TFN,NA,747
4,Boeing,747SR,520,505,15,0,1985-08-12,520,1985,8,80s,Japan Airlines Flight,NA,NA,ENR,Japan,,NA,747SR
5,Boeing,747,349,316,33,0,1996-11-12,349,1996,11,90s,Saudi Arabian Flight,Kazakhstan Airlines Flight,NA,ENR,India,,NA,747
6,McDonnell,Douglas,346,335,11,0,1974-03-03,346,1974,3,70s,Turkish Airlines Flight,NA,NA,ENR,France,,NA,Douglas
7,Boeing,747,329,307,22,0,1985-06-23,329,1985,6,80s,Air India Flight,NA,NA,ENR,Ireland,,NA,747
8,Lockheed,L,301,287,14,0,1980-08-19,301,1980,8,70s,Saudia Flight,NA,NA,ENR,Saudi Arabia,,NA,L
9,Boeing,777,298,283,15,0,2014-07-17,298,2014,7,2010-2020,Malaysia Airlines Flight,NA,NA,ENR,Ukraine,,NA,777
10,Airbus,A300B2,290,274,16,0,1988-07-03,290,1988,7,80s,Iran Air Flight,NA,NA,ENR,Iran,,NA,A300B2
11,Ilyushin,Il,275,257,18,0,2003-02-19,275,2003,2,2000-2010,Iranian Air Force,NA,NA,ENR,Iran,,NA,Il
12,McDonnell,Douglas,273,258,13,2,1979-05-25,271,1979,5,70s,American Airlines Flight,NA,NA,TOF,US,ORD,1.4,Douglas
13,Boeing,747,270,243,16,11,1988-12-21,259,1988,12,80s,Pan Am Flight,NA,NA,ENR,United Kingdom,,NA,747
14,Boeing,747,269,246,23,0,1983-09-01,269,1983,9,80s,Korean Air Lines Flight,NA,NA,ENR,USSR,,NA,747
15,Airbus,A300B4,265,251,9,5,2001-11-12,260,2001,11,2000-2010,American Airlines Flight,NA,NA,ENR,US,,NA,A300B4
16,Airbus,A300B4,264,249,15,0,1994-04-26,264,1994,4,90s,China Airlines Flight,NA,NA,APR,Japan,NKM,0.1,A300B4
17,McDonnell,Douglas,261,247,14,0,1991-07-11,261,1991,7,90s,Nigeria Airways Flight,NA,NA,APR,Saudi Arabia,JED,2.8,Douglas
18,Ilyushin,Il,257,247,10,0,2018-04-11,257,2018,4,2010-2020,Algerian Air Force,NA,NA,ICL,Algeria,,NA,Il
19,McDonnell,Douglas,257,237,20,0,1979-11-28,257,1979,11,70s,Air New Zealand Flight,Flight,NA,ENR,Antarctica,,NA,Douglas
20,McDonnell,Douglas,256,248,8,0,1985-12-12,256,1985,12,80s,Arrow Air Flight,NA,NA,ICL,Canada,YQX,1,Douglas
21,Antonov,An,251,0,2,249,1996-01-08,2,1996,1,90s,Air Africa,NA,NA,ICL,Congo,NLO,0.6,An
22,Boeing,777,239,227,12,0,2014-03-08,239,2014,3,2010-2020,Malaysia Airlines Flight,NA,NA,ENR,Indian Ocean,,NA,777
23,Airbus,A300B4,234,222,12,0,1997-09-26,234,1997,9,90s,Garuda Indonesia Flight,NA,NA,APR,Indonesia,MES,32,A300B4
24,Boeing,747,230,212,18,0,1996-07-17,230,1996,7,90s,TWA Flight,NA,NA,ENR,US,,NA,747
25,McDonnell,Douglas,229,215,14,0,1998-09-02,229,1998,9,90s,Swissair Flight,NA,NA,ENR,Canada,,NA,Douglas
26,Boeing,747,229,207,22,0,1997-08-06,229,1997,8,90s,Korean Air Flight,NA,NA,APR,US,GUM,4.8,747
27,Airbus,A330,228,216,12,0,2009-06-01,228,2009,6,2000-2010,Air France Flight,NA,NA,ENR,France,,NA,A330
28,Boeing,747,225,206,19,0,2002-05-25,225,2002,5,2000-2010,China Airlines Flight,NA,NA,ENR,Taiwan,,NA,747
29,Airbus,A321,224,217,7,0,2015-10-31,224,2015,10,2010-2020,Metrojet Flight,NA,NA,ENR,Egypt,,NA,A321
30,Boeing,767,223,213,10,0,1991-05-26,223,1991,5,90s,Lauda Air Flight,NA,NA,ENR,Thailand,,NA,767
31,Boeing,767,217,202,15,0,1999-10-31,217,1999,10,90s,EgyptAir Flight,NA,NA,ENR,US,,NA,767
32,Boeing,747,213,190,23,0,1978-01-01,213,1978,1,70s,Air India Flight,NA,NA,ENR,India,,NA,747
33,Airbus,A300B4,203,182,14,7,1998-02-16,196,1998,2,90s,China Airlines Flight,NA,NA,APR,Taiwan,TPE,0.06,A300B4
34,Tupolev,Tu,200,191,9,0,1985-07-10,200,1985,7,80s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
35,Airbus,A320,199,181,6,12,2007-07-17,187,2007,7,2000-2010,TAM Airlines Flight,NA,NA,LDG,Brazil,CGH,NA,A320
36,Douglas,DC,191,182,9,0,1974-12-04,191,1974,12,70s,Martinair Holland Flight,Flight,NA,ENR,Sri Lanka,,NA,DC
37,Boeing,737,189,181,8,0,2018-10-29,189,2018,10,2010-2020,Lion Air Flight,NA,NA,ENR,Indonesia,,NA,737
39,Boeing,757,189,176,13,0,1996-02-06,189,1996,2,90s,Birgenair Flight,NA,NA,ENR,Dominican Republic,,NA,757
40,Boeing,707,188,181,7,0,1975-08-03,188,1975,8,70s,Alia Royal Jordanian,NA,NA,ENR,Morocco,,NA,707
41,Ilyushin,Il,183,172,11,0,1987-05-09,183,1987,5,80s,LOT Polish Airlines Flight,NA,NA,ENR,Poland,WAW,6,Il
42,Douglas,DC,183,175,8,0,1978-11-15,183,1978,11,70s,Icel,ic Airlines Flight,NA,APR,Sri Lanka,CMB,2.1,DC
43,Boeing,747,181,162,19,0,1983-11-27,181,1983,11,80s,Avianca Flight,NA,NA,APR,Spain,MAD,12,747
44,McDonnell,Douglas,180,173,7,0,1981-12-01,180,1981,12,80s,Inex-Adria Aviopromet Flight,NA,NA,ENR,France,,NA,Douglas
45,Tupolev,Tu,178,169,5,4,1984-10-11,174,1984,10,80s,Aeroflot Flight,NA,NA,LDG,USSR,OMS,NA,Tu
46,Tupolev,Tu,178,165,13,0,1979-08-11,178,1979,8,70s,Aeroflot/Moldovia flight,Aeroflot flight,NA,ENR,USSR,,NA,Tu
47,Boeing,737,176,167,9,0,2020-01-08,176,2020,1,2010-2020,Ukraine International Airlines Flight,NA,NA,ICL,Iran,IKA,NA,737
48,Douglas,DC,176,167,9,0,1989-06-07,176,1989,6,80s,Surinam Airways Flight,NA,NA,APR,Surinam,PBM,3,DC
49,Hawker,Siddeley,176,162,14,0,1976-09-10,176,1976,9,70s,British Airways Flight,Inex Adria Flight,NA,ENR,Yugoslavia,,NA,Siddeley
50,Boeing,707,176,170,6,0,1973-01-22,176,1973,1,70s,Nigeria Airways,NA,NA,LDG,Nigeria,KAN,NA,707
51,Ilyushin,Il,174,164,10,0,1972-10-13,174,1972,10,70s,Aeroflot Flight,NA,NA,APR,USSR,SVO,11,Il
52,Tupolev,Tu,170,160,10,0,2006-08-22,170,2006,8,2000-2010,Pulkovo Flight,NA,NA,ENR,Ukraine,,NA,Tu
53,McDonnell,Douglas,170,156,14,0,1989-09-19,170,1989,9,80s,Union de Transports Aériens Flight,NA,NA,ENR,Niger,,NA,Douglas
54,Airbus,A310,169,159,10,0,2000-01-30,169,2000,1,90s,Kenya Airways Flight,NA,NA,ENR,Cote dIvoire,,NA,A310
55,Tupolev,Tu,168,156,12,0,2009-07-15,168,2009,7,2000-2010,Caspian Airlines Flight,NA,NA,ENR,Iran,,NA,Tu
56,Airbus,A300B4,167,155,12,0,1992-09-28,167,1992,9,90s,Pakistan International Airlines Flight,NA,NA,APR,Nepal,KTM,20,A300B4
57,Boeing,727,167,159,8,0,1986-03-31,167,1986,3,80s,Mexicana Flight,NA,NA,ENR,Mexico,,NA,727
58,Tupolev,Tu,166,156,10,0,1980-07-08,166,1980,7,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
59,Airbus,A320,162,155,7,0,2014-12-28,162,2014,12,2010-2020,Indonesia AirAsia Flight,NA,NA,ENR,Indonesia,,NA,A320
60,Boeing,727,162,155,7,0,1971-07-30,162,1971,7,70s,All Nippon Airways Flight,JASDF,NA,ENR,Japan,,NA,727
61,McDonnell,Douglas,160,152,8,0,2005-08-16,160,2005,8,2000-2010,West Caribbean Airways Flight,NA,NA,ENR,Venezuela,,NA,Douglas
62,Tupolev,Tu,160,146,14,0,1994-06-06,160,1994,6,90s,China Northwest Airlines Flight,NA,NA,ENR,China,,NA,Tu
63,McDonnell,Douglas,159,147,6,6,2012-06-03,153,2012,6,2010-2020,Dana Air Flight,NA,NA,APR,Nigeria,LOS,9.3,Douglas
64,Boeing,757,159,151,8,0,1995-12-20,159,1995,12,90s,American Airlines Flight,NA,NA,APR,Colombia,CLO,NA,757
65,Lockheed,C,159,151,8,0,1992-09-26,159,1992,9,90s,Nigerian Air Force,NA,NA,ENR,Nigeria,,NA,C
